detection_model,metric,correlation,pvalue,significant
microsoft/deberta-v3-small,MATTR,-0.3263513468126732,3.0393445667027396e-06,True
microsoft/deberta-v3-small,L_MATTR,-0.3384580790228603,1.221775564966358e-06,True
microsoft/deberta-v3-small,LEX_DEN,-0.2962988406492044,2.4787126148523354e-05,True
microsoft/deberta-v3-small,UNIQUE_WORDS,-0.12100785407591545,0.09112597492973576,False
microsoft/deberta-v3-small,FLESCH,0.3220353251168546,4.167051472467622e-06,True
microsoft/deberta-v3-small,GUNNING_FOG,-0.31727868126899383,5.867361931523013e-06,True
microsoft/deberta-v3-small,AVG_SENT_LEN,-0.2952020746403169,2.664611478278582e-05,True
microsoft/deberta-v3-small,LONG_SENTS,-0.20192667548709042,0.004537061814268017,True
microsoft/deberta-v3-small,SHORT_SENTS,0.1500076708776044,0.035855394945179336,True
microsoft/deberta-v3-small,SENT_LEN_STD,-0.30007206694033345,1.928386731010405e-05,True
microsoft/deberta-v3-small,len_in_characters,-0.16299786799987395,0.02245033156971052,True
microsoft/deberta-v3-small,polarity,0.17069678223256693,0.01675447971650303,True
microsoft/deberta-v3-small,subjectivity,0.04775921067012632,0.5062221609126836,False
microsoft/deberta-v3-small,POS_VERB,-0.08084338881449385,0.25999084350622387,False
microsoft/deberta-v3-small,POS_NOUN,-0.23915206327782507,0.0007359228048764,True
microsoft/deberta-v3-small,POS_ADJ,-0.08717094642180925,0.22440375798588824,False
microsoft/deberta-v3-small,POS_ADV,-0.21654543290103948,0.002299875688922893,True
microsoft/deberta-v3-small,POS_DET,0.307723087460848,1.1465903829150221e-05,True
microsoft/deberta-v3-small,POS_INTJ,0.07687584011127264,0.2841859124289226,False
microsoft/deberta-v3-small,POS_CONJ,0.21677372626242364,0.0022747996262956933,True
microsoft/deberta-v3-small,POS_PART,0.1391252471645035,0.051803471220297555,False
microsoft/deberta-v3-small,POS_NUM,0.09748725202505691,0.17404149585378853,False
microsoft/deberta-v3-small,POS_PREP,-0.1446378134362482,0.04311177820093917,True
microsoft/deberta-v3-small,POS_PRO,0.1994026768552838,0.005079065345322442,True
